"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-01","0","0","12","9","0","10","2","0","0","16","64","2392","748","40.9","47.6","34.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-02","0","0","6","5","0","19","4","0","0","15","62","3212","819","35.7","42.4","29.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-03","0","0","4","2","0","14","0","2","0","22","74","3892","680","43.1","50.6","35.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-04","7","7","10","7","0","0","0","9","0","33","83","4178","286","55.7","65.3","46.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-05","66","60","11","7","0","0","0","19","0","45","88","4297","119","63.1","71.5","54.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-06","268","202","15","11","0","0","0","24","1","52","91","4319","22","71.0","77.7","64.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-07","669","401","10","7","0","0","0","31","4","61","95","0","0","77.9","85.2","70.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-08","1003","334","11","9","0","0","0","30","3","60","97","0","0","75.8","82.8","68.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-09","1087","84","11","6","0","0","0","20","0","49","83","36","36","66.6","73.1","60.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-10","1100","13","10","8","0","0","0","6","0","37","79","321","284","56.2","63.3","49.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-11","1100","0","11","7","0","0","0","0","0","35","69","713","393","51.9","57.4","46.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-12","1100","0","7","5","0","6","1","1","0","18","70","1376","663","43.6","49.5","37.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01","0","0","18","4","0","18","5","1","0","9","72","2229","853","37.5","43.6","31.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02","0","0","8","6","0","24","11","0","0","8","49","3258","1029","28.3","34.5","22.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-03","0","0","12","5","0","11","2","2","0","11","78","3964","706","42.2","50.9","33.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-04","11","11","10","6","0","4","0","7","0","30","86","4416","451","50.3","57.9","42.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-05","113","102","8","6","0","0","0","24","2","44","91","4511","95","65.2","75.3","55.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-06","315","201","12","7","0","0","0","28","2","54","91","4521","11","71.4","79.6","63.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-07","624","309","9","6","0","0","0","31","2","57","92","0","0","75.0","82.3","67.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-08","918","294","10","6","0","0","0","28","4","56","92","14","14","74.0","81.4","66.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-09","1095","177","5","3","0","0","0","27","0","50","88","33","19","70.3","78.0","62.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-10","1179","84","12","8","0","0","0","16","0","38","87","161","127","63.6","70.6","56.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-11","1179","0","12","9","0","3","0","0","0","26","66","748","587","45.4","51.6","39.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-12","1179","0","17","10","0","14","0","0","0","20","61","1618","869","36.9","41.6","32.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-01","0","0","12","6","0","20","2","0","0","12","64","2501","883","36.5","42.4","30.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-02","0","0","14","8","0","19","4","0","0","10","68","3349","847","35.8","43.1","28.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-03","0","0","12","9","0","8","0","0","0","27","63","4042","693","42.6","50.3","35.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-04","9","9","11","4","0","0","0","9","0","33","84","4353","311","54.9","63.5","46.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-05","34","24","13","8","0","0","0","16","0","44","83","4530","177","60.1","68.9","51.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-06","304","271","16","8","0","0","0","30","4","57","96","4531","1","74.0","82.6","65.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-07","720","416","10","5","0","0","0","31","6","66","96","0","0","78.4","86.2","70.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-08","993","273","10","7","0","0","0","31","1","58","90","0","0","73.8","82.6","65.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-09","1134","142","8","7","0","0","0","23","1","51","90","27","27","68.8","75.8","61.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-10","1137","2","8","4","0","0","0","7","0","36","75","335","308","55.1","62.3","47.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-11","1137","0","11","10","0","6","1","0","0","23","67","909","575","45.8","51.2","40.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-12","1137","0","16","10","0","19","5","0","0","13","67","1743","834","38.1","44.9","31.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-01","0","0","8","6","0","30","13","0","0","6","47","2893","1150","27.9","33.4","22.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-02","0","0","6","3","0","20","3","0","0","12","65","3684","792","36.7","44.5","28.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-03","0","0","10","6","0","11","2","1","0","12","70","4384","700","42.4","49.7","35.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-04","41","41","10","7","0","0","0","7","2","34","92","4740","356","54.5","62.9","46.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-05","87","45","13","10","0","0","0","16","0","43","86","4864","124","62.5","70.5","54.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-06","193","106","18","14","0","0","0","24","0","50","84","4896","32","67.5","74.5","60.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-07","430","237","13","10","0","0","0","31","0","58","86","0","0","72.6","80.4","64.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-08","762","331","11","7","0","0","0","31","5","62","92","0","0","75.7","82.4","68.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-09","841","79","7","4","0","0","0","21","0","49","84","40","40","66.3","73.0","59.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-10","843","2","13","9","0","0","0","4","0","37","74","353","313","55.0","61.1","48.8",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-11","843","0","9","4","0","0","0","0","0","35","69","769","416","51.1","56.6","45.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-12","843","0","11","11","0","17","7","0","0","16","66","1671","902","35.9","41.9","29.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01","0","0","8","2","0","22","9","0","0","13","57","2678","1007","32.5","38.1","27.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02","0","0","11","6","0","22","1","0","0","17","46","3571","893","33.1","37.9","28.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03","0","0","13","10","0","2","0","2","0","29","74","4092","521","48.2","55.0","41.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04","21","21","7","4","0","0","0","11","1","40","92","4327","236","57.9","67.3","48.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-05","132","111","8","3","0","0","0","24","1","41","92","4430","103","65.3","74.4","56.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-06","425","293","8","5","0","0","0","29","4","57","93","4433","3","74.7","83.2","66.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-07","931","506","7","5","0","0","0","31","16","61","103","0","0","81.3","90.1","72.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-08","1316","385","8","5","0","0","0","30","12","61","96","0","0","77.4","85.3","69.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-09","1503","187","8","7","0","0","0","29","3","54","96","5","5","71.1","78.7","63.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-10","1513","10","10","5","0","0","0","9","0","42","75","228","223","58.1","65.0","51.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-11","1513","0","8","4","0","0","0","0","0","34","65","741","513","47.9","53.6","42.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-12","1513","0","6","4","0","25","7","0","0","19","60","1741","999","32.8","37.7","27.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01","0","0","11","7","0","28","12","0","0","6","53","2835","1095","29.7","34.8","24.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02","0","0","9","8","0","20","3","0","0","15","67","3647","811","36.0","43.7","28.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03","0","0","11","7","0","11","0","1","0","20","77","4350","703","42.3","49.9","34.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04","11","11","13","9","0","0","0","7","0","35","83","4682","332","54.3","62.6","46.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05","95","84","9","8","0","0","0","18","0","46","89","4782","100","64.5","72.4","56.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-06","317","222","10","5","0","0","0","30","3","56","95","4784","2","72.3","80.2","64.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-07","790","473","8","7","0","0","0","31","14","63","104","0","0","80.3","88.9","71.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-08","1108","318","14","11","0","0","0","31","3","59","94","0","0","75.3","82.9","67.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-09","1282","175","12","7","0","0","0","24","0","51","86","23","23","70.0","76.2","63.8",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-10","1298","16","12","7","0","0","0","6","0","33","84","285","261","57.1","63.8","50.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-11","1298","0","8","5","0","0","0","1","0","36","70","678","394","51.9","58.5","45.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-12","1298","0","9","6","0","10","1","0","0","22","62","1351","673","43.3","49.7","36.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-01","0","0","10","6","0","13","4","0","0","13","62","2209","858","37.3","44.2","30.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-02","0","0","11","3","0","10","1","0","0","20","62","2908","699","40.9","46.8","34.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-03","4","4","11","5","0","4","0","8","0","25","78","3348","440","50.9","59.2","42.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-04","22","18","9","4","0","0","0","7","0","38","88","3674","326","54.8","63.6","45.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-05","108","86","18","10","0","0","0","18","0","49","89","3756","82","65.1","72.0","58.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-06","304","196","13","8","0","0","0","27","5","51","94","3773","16","71.0","79.0","63.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-07","731","426","11","7","0","0","0","31","10","61","100","0","0","78.8","87.3","70.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-08","1094","363","10","8","0","0","0","31","3","61","91","0","0","76.7","84.2","69.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-09","1233","139","9","5","0","0","0","24","1","53","91","25","25","68.8","75.9","61.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-10","1247","14","10","7","0","0","0","7","0","38","78","254","229","58.0","63.7","52.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-11","1247","0","5","2","0","3","0","0","0","31","66","888","634","43.9","49.7","38.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-12","1247","0","17","10","0","8","0","0","0","28","62","1617","729","41.5","46.3","36.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01","0","0","10","5","0","18","7","0","0","11","61","2545","927","35.1","40.8","29.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02","0","0","13","7","0","17","8","0","0","17","55","3415","870","33.9","39.4","28.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03","0","0","8","7","0","14","0","0","0","27","59","4186","771","40.1","46.3","34.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04","2","2","8","2","0","0","0","6","0","33","82","4547","361","53.0","61.3","44.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05","76","74","10","8","0","0","0","15","2","42","90","4690","143","62.8","71.2","54.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06","316","240","13","10","0","0","0","28","3","53","92","4700","10","72.7","80.3","65.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-07","775","460","12","7","0","0","0","30","10","64","98","0","0","79.8","86.3","73.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-08","1073","298","10","5","0","0","0","31","1","59","90","0","0","74.6","81.6","67.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09","1200","127","8","3","0","0","0","25","1","47","96","41","41","67.9","76.4","59.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10","1244","44","5","1","0","0","0","10","0","40","86","234","193","60.2","66.9","53.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11","1244","0","9","5","0","9","1","1","0","23","70","825","591","45.3","52.1","38.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12","1246","1","12","9","0","19","4","1","0","19","71","1644","819","38.6","44.5","32.8",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01","0","0","13","8","0","24","13","0","0","4","58","2770","1125","28.7","35.5","21.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02","0","0","11","8","0","21","11","0","0","9","56","3702","932","31.7","37.5","25.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03","0","0","7","5","0","19","4","0","0","13","66","4548","846","37.7","45.5","29.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04","3","3","11","6","0","1","0","5","0","31","77","4931","383","52.3","61.2","43.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05","51","48","14","8","0","0","0","22","0","49","86","5010","79","64.0","72.5","55.5",
